Arongan Lambalek, Aceh Barat, Nanggroe Aceh Darussalam (NAD), 1
Bontonompo, Gowa, Sulawesi Selatan, 1816
Bontonompo Selatan, Gowa, Sulawesi Selatan, 1817
Bungaya, Gowa, Sulawesi Selatan, 1818
Manuju, Gowa, Sulawesi Selatan, 1819
Pallangga, Gowa, Sulawesi Selatan, 1820
Parangloe, Gowa, Sulawesi Selatan, 1821
Parigi, Gowa, Sulawesi Selatan, 1822
Pattallassang, Gowa, Sulawesi Selatan, 1823
Somba Opu (Upu), Gowa, Sulawesi Selatan, 1824
Tinggimoncong, Gowa, Sulawesi Selatan, 1825
Tombolo Pao, Gowa, Sulawesi Selatan, 1826
Tompobulu, Gowa, Sulawesi Selatan, 1827
Balong Panggang, Gresik, Jawa Timur, 1828
Benjeng, Gresik, Jawa Timur, 1829
Bungah, Gresik, Jawa Timur, 1830
Cerme, Gresik, Jawa Timur, 1831
Driyorejo, Gresik, Jawa Timur, 1832
Duduk Sampeyan, Gresik, Jawa Timur, 1833
Dukun, Gresik, Jawa Timur, 1834
Gresik, Gresik, Jawa Timur, 1835
Kebomas, Gresik, Jawa Timur, 1836
Kedamean, Gresik, Jawa Timur, 1837
Manyar, Gresik, Jawa Timur, 1838
Menganti, Gresik, Jawa Timur, 1839
Panceng, Gresik, Jawa Timur, 1840
Sangkapura, Gresik, Jawa Timur, 1841
Sidayu, Gresik, Jawa Timur, 1842
Tambak, Gresik, Jawa Timur, 1843
Ujung Pangkah, Gresik, Jawa Timur, 1844
Wringin Anom, Gresik, Jawa Timur, 1845
Brati, Grobogan, Jawa Tengah, 1846
Gabus, Grobogan, Jawa Tengah, 1847
Geyer, Grobogan, Jawa Tengah, 1848
Godong, Grobogan, Jawa Tengah, 1849
Grobogan, Grobogan, Jawa Tengah, 1850
Gubug, Grobogan, Jawa Tengah, 1851
Karangrayung, Grobogan, Jawa Tengah, 1852
Kedungjati, Grobogan, Jawa Tengah, 1853
Klambu, Grobogan, Jawa Tengah, 1854
Kradenan, Grobogan, Jawa Tengah, 1855
Ngaringan, Grobogan, Jawa Tengah, 1856
Penawangan, Grobogan, Jawa Tengah, 1857
Pulokulon, Grobogan, Jawa Tengah, 1858
Purwodadi, Grobogan, Jawa Tengah, 1859
Tanggungharjo, Grobogan, Jawa Tengah, 1860
Tawangharjo, Grobogan, Jawa Tengah, 1861
Tegowanu, Grobogan, Jawa Tengah, 1862
Toroh, Grobogan, Jawa Tengah, 1863
Wirosari, Grobogan, Jawa Tengah, 1864
Gedang Sari, Gunung Kidul, DI Yogyakarta, 1865
Girisubo, Gunung Kidul, DI Yogyakarta, 1866
Karangmojo, Gunung Kidul, DI Yogyakarta, 1867
Ngawen, Gunung Kidul, DI Yogyakarta, 1868
Nglipar, Gunung Kidul, DI Yogyakarta, 1869
Paliyan, Gunung Kidul, DI Yogyakarta, 1870
Panggang, Gunung Kidul, DI Yogyakarta, 1871
Patuk, Gunung Kidul, DI Yogyakarta, 1872
Playen, Gunung Kidul, DI Yogyakarta, 1873
Ponjong, Gunung Kidul, DI Yogyakarta, 1874
Purwosari, Gunung Kidul, DI Yogyakarta, 1875
Rongkop, Gunung Kidul, DI Yogyakarta, 1876
Sapto Sari, Gunung Kidul, DI Yogyakarta, 1877
Semanu, Gunung Kidul, DI Yogyakarta, 1878
Semin, Gunung Kidul, DI Yogyakarta, 1879
Tanjungsari, Gunung Kidul, DI Yogyakarta, 1880
Tepus, Gunung Kidul, DI Yogyakarta, 1881
Wonosari, Gunung Kidul, DI Yogyakarta, 1882
Damang Batu, Gunung Mas, Kalimantan Tengah, 1883
Kahayan Hulu Utara, Gunung Mas, Kalimantan Tengah, 1884
Kurun, Gunung Mas, Kalimantan Tengah, 1885
Manuhing, Gunung Mas, Kalimantan Tengah, 1886
Manuhing Raya, Gunung Mas, Kalimantan Tengah, 1887
Mihing Raya, Gunung Mas, Kalimantan Tengah, 1888
Miri Manasa, Gunung Mas, Kalimantan Tengah, 1889
Rungan, Gunung Mas, Kalimantan Tengah, 1890
Rungan Barat, Gunung Mas, Kalimantan Tengah, 1891
Rungan Hulu, Gunung Mas, Kalimantan Tengah, 1892
Sepang (Sepang Simin), Gunung Mas, Kalimantan Tengah, 1893
Tewah, Gunung Mas, Kalimantan Tengah, 1894
Gunungsitoli, Gunungsitoli, Sumatera Utara, 1895
Gunungsitoli Alo'oa, Gunungsitoli, Sumatera Utara, 1896
Gunungsitoli Barat, Gunungsitoli, Sumatera Utara, 1897
Gunungsitoli Idanoi, Gunungsitoli, Sumatera Utara, 1898
Gunungsitoli Selatan, Gunungsitoli, Sumatera Utara, 1899
Gunungsitoli Utara, Gunungsitoli, Sumatera Utara, 1900
Ibu, Halmahera Barat, Maluku Utara, 1901
Ibu Selatan, Halmahera Barat, Maluku Utara, 1902
Ibu Utara, Halmahera Barat, Maluku Utara, 1903
Jailolo, Halmahera Barat, Maluku Utara, 1904
Jailolo Selatan, Halmahera Barat, Maluku Utara, 1905
Loloda, Halmahera Barat, Maluku Utara, 1906
Sahu, Halmahera Barat, Maluku Utara, 1907
Sahu Timur, Halmahera Barat, Maluku Utara, 1908
Bacan, Halmahera Selatan, Maluku Utara, 1909
Bacan Barat, Halmahera Selatan, Maluku Utara, 1910
Bacan Barat Utara, Halmahera Selatan, Maluku Utara, 1911
Bacan Selatan, Halmahera Selatan, Maluku Utara, 1912
Bacan Timur, Halmahera Selatan, Maluku Utara, 1913
Bacan Timur Selatan, Halmahera Selatan, Maluku Utara, 1914
Bacan Timur Tengah, Halmahera Selatan, Maluku Utara, 1915
Gane Barat, Halmahera Selatan, Maluku Utara, 1916
Gane Barat Selatan, Halmahera Selatan, Maluku Utara, 1917
Gane Barat Utara, Halmahera Selatan, Maluku Utara, 1918
Gane Timur, Halmahera Selatan, Maluku Utara, 1919
Gane Timur Selatan, Halmahera Selatan, Maluku Utara, 1920
Gane Timur Tengah, Halmahera Selatan, Maluku Utara, 1921
Kasiruta Barat, Halmahera Selatan, Maluku Utara, 1922
Kasiruta Timur, Halmahera Selatan, Maluku Utara, 1923
Kayoa, Halmahera Selatan, Maluku Utara, 1924
Kayoa Barat, Halmahera Selatan, Maluku Utara, 1925
Kayoa Selatan, Halmahera Selatan, Maluku Utara, 1926
Kayoa Utara, Halmahera Selatan, Maluku Utara, 1927
Kepulauan Botanglomang, Halmahera Selatan, Maluku Utara, 1928
Kepulauan Joronga, Halmahera Selatan, Maluku Utara, 1929
Makian (Pulau Makian), Halmahera Selatan, Maluku Utara, 1930
Makian Barat (Pulau Makian), Halmahera Selatan, Maluku Utara, 1931
Mandioli Selatan, Halmahera Selatan, Maluku Utara, 1932
Mandioli Utara, Halmahera Selatan, Maluku Utara, 1933
Obi, Halmahera Selatan, Maluku Utara, 1934
Obi Barat, Halmahera Selatan, Maluku Utara, 1935
Obi Selatan, Halmahera Selatan, Maluku Utara, 1936
Obi Timur, Halmahera Selatan, Maluku Utara, 1937
Obi Utara, Halmahera Selatan, Maluku Utara, 1938
Patani, Halmahera Tengah, Maluku Utara, 1939
Patani Barat, Halmahera Tengah, Maluku Utara, 1940
Patani Utara, Halmahera Tengah, Maluku Utara, 1941
Pulau Gebe, Halmahera Tengah, Maluku Utara, 1942
Weda, Halmahera Tengah, Maluku Utara, 1943
Weda Selatan, Halmahera Tengah, Maluku Utara, 1944
Weda Tengah, Halmahera Tengah, Maluku Utara, 1945
Weda Utara, Halmahera Tengah, Maluku Utara, 1946
Kota Maba, Halmahera Timur, Maluku Utara, 1947
Maba, Halmahera Timur, Maluku Utara, 1948
Maba Selatan, Halmahera Timur, Maluku Utara, 1949
Maba Tengah, Halmahera Timur, Maluku Utara, 1950
Maba Utara, Halmahera Timur, Maluku Utara, 1951
Wasile, Halmahera Timur, Maluku Utara, 1952
Wasile Selatan, Halmahera Timur, Maluku Utara, 1953
Wasile Tengah, Halmahera Timur, Maluku Utara, 1954
Wasile Timur, Halmahera Timur, Maluku Utara, 1955
Wasile Utara, Halmahera Timur, Maluku Utara, 1956
Galela, Halmahera Utara, Maluku Utara, 1957
Galela Barat, Halmahera Utara, Maluku Utara, 1958
Galela Selatan, Halmahera Utara, Maluku Utara, 1959
Galela Utara, Halmahera Utara, Maluku Utara, 1960
Kao, Halmahera Utara, Maluku Utara, 1961
Kao Barat, Halmahera Utara, Maluku Utara, 1962
Kao Teluk, Halmahera Utara, Maluku Utara, 1963
Kao Utara, Halmahera Utara, Maluku Utara, 1964
Loloda Kepulauan, Halmahera Utara, Maluku Utara, 1965
Loloda Utara, Halmahera Utara, Maluku Utara, 1966
Malifut, Halmahera Utara, Maluku Utara, 1967
Tobelo, Halmahera Utara, Maluku Utara, 1968
Tobelo Barat, Halmahera Utara, Maluku Utara, 1969
Tobelo Selatan, Halmahera Utara, Maluku Utara, 1970
Tobelo Tengah, Halmahera Utara, Maluku Utara, 1971
Tobelo Timur, Halmahera Utara, Maluku Utara, 1972
Tobelo Utara, Halmahera Utara, Maluku Utara, 1973
Angkinang, Hulu Sungai Selatan, Kalimantan Selatan, 1974
Daha Barat, Hulu Sungai Selatan, Kalimantan Selatan, 1975
Daha Selatan, Hulu Sungai Selatan, Kalimantan Selatan, 1976
Daha Utara, Hulu Sungai Selatan, Kalimantan Selatan, 1977
Kalumpang (Kelumpang), Hulu Sungai Selatan, Kalimantan Selatan, 1978
Kandangan, Hulu Sungai Selatan, Kalimantan Selatan, 1979
Loksado, Hulu Sungai Selatan, Kalimantan Selatan, 1980
Padang Batung, Hulu Sungai Selatan, Kalimantan Selatan, 1981
Simpur, Hulu Sungai Selatan, Kalimantan Selatan, 1982
Sungai Raya, Hulu Sungai Selatan, Kalimantan Selatan, 1983
Telaga Langsat, Hulu Sungai Selatan, Kalimantan Selatan, 1984
Barabai, Hulu Sungai Tengah, Kalimantan Selatan, 1985
Batang Alai Selatan, Hulu Sungai Tengah, Kalimantan Selatan, 1986
Batang Alai Timur, Hulu Sungai Tengah, Kalimantan Selatan, 1987
Batang Alai Utara, Hulu Sungai Tengah, Kalimantan Selatan, 1988
Batu Benawa, Hulu Sungai Tengah, Kalimantan Selatan, 1989
Hantakan, Hulu Sungai Tengah, Kalimantan Selatan, 1990
Haruyan, Hulu Sungai Tengah, Kalimantan Selatan, 1991
Labuan Amas Selatan, Hulu Sungai Tengah, Kalimantan Selatan, 1992
Labuan Amas Utara, Hulu Sungai Tengah, Kalimantan Selatan, 1993
Limpasu, Hulu Sungai Tengah, Kalimantan Selatan, 1994
Pandawan, Hulu Sungai Tengah, Kalimantan Selatan, 1995
Amuntai Selatan, Hulu Sungai Utara, Kalimantan Selatan, 1996
Amuntai Tengah, Hulu Sungai Utara, Kalimantan Selatan, 1997
Amuntai Utara, Hulu Sungai Utara, Kalimantan Selatan, 1998
Babirik, Hulu Sungai Utara, Kalimantan Selatan, 1999
Banjang, Hulu Sungai Utara, Kalimantan Selatan, 2000
Danau Panggang, Hulu Sungai Utara, Kalimantan Selatan, 2001
Haur Gading, Hulu Sungai Utara, Kalimantan Selatan, 2002
Paminggir, Hulu Sungai Utara, Kalimantan Selatan, 2003
Sungai Pandan, Hulu Sungai Utara, Kalimantan Selatan, 2004
Sungai Tabukan, Hulu Sungai Utara, Kalimantan Selatan, 2005
Bakti Raja, Humbang Hasundutan, Sumatera Utara, 2006
Dolok Sanggul, Humbang Hasundutan, Sumatera Utara, 2007
Lintong Nihuta, Humbang Hasundutan, Sumatera Utara, 2008
Onan Ganjang, Humbang Hasundutan, Sumatera Utara, 2009
Pakkat, Humbang Hasundutan, Sumatera Utara, 2010
Paranginan, Humbang Hasundutan, Sumatera Utara, 2011
Parlilitan, Humbang Hasundutan, Sumatera Utara, 2012
Pollung, Humbang Hasundutan, Sumatera Utara, 2013
Sijama Polang, Humbang Hasundutan, Sumatera Utara, 2014
Tara Bintang, Humbang Hasundutan, Sumatera Utara, 2015
Batang Tuaka, Indragiri Hilir, Riau, 2016
Concong, Indragiri Hilir, Riau, 2017
Enok, Indragiri Hilir, Riau, 2018
Gaung, Indragiri Hilir, Riau, 2019
Gaung Anak Serka, Indragiri Hilir, Riau, 2020
Kateman, Indragiri Hilir, Riau, 2021
Kempas, Indragiri Hilir, Riau, 2022
Kemuning, Indragiri Hilir, Riau, 2023
Keritang, Indragiri Hilir, Riau, 2024
Kuala Indragiri, Indragiri Hilir, Riau, 2025
Mandah, Indragiri Hilir, Riau, 2026
Pelangiran, Indragiri Hilir, Riau, 2027
Pulau Burung, Indragiri Hilir, Riau, 2028
Reteh, Indragiri Hilir, Riau, 2029
Sungai Batang, Indragiri Hilir, Riau, 2030
Tanah Merah, Indragiri Hilir, Riau, 2031
Teluk Belengkong, Indragiri Hilir, Riau, 2032
Tembilahan, Indragiri Hilir, Riau, 2033
Tembilahan Hulu, Indragiri Hilir, Riau, 2034
Tempuling, Indragiri Hilir, Riau, 2035
Batang Cenaku, Indragiri Hulu, Riau, 2036
Batang Gansal, Indragiri Hulu, Riau, 2037
Batang Peranap, Indragiri Hulu, Riau, 2038
Kelayang, Indragiri Hulu, Riau, 2039
Kuala Cenaku, Indragiri Hulu, Riau, 2040
Lirik, Indragiri Hulu, Riau, 2041
Lubuk Batu Jaya, Indragiri Hulu, Riau, 2042
Pasir Penyu, Indragiri Hulu, Riau, 2043
Peranap, Indragiri Hulu, Riau, 2044
Rakit Kulim, Indragiri Hulu, Riau, 2045
Rengat, Indragiri Hulu, Riau, 2046
Rengat Barat, Indragiri Hulu, Riau, 2047
Seberida, Indragiri Hulu, Riau, 2048
Sungai Lala, Indragiri Hulu, Riau, 2049
Anjatan, Indramayu, Jawa Barat, 2050
Arahan, Indramayu, Jawa Barat, 2051
Balongan, Indramayu, Jawa Barat, 2052
Bangodua, Indramayu, Jawa Barat, 2053
Bongas, Indramayu, Jawa Barat, 2054
Cantigi, Indramayu, Jawa Barat, 2055
Cikedung, Indramayu, Jawa Barat, 2056
Gabuswetan, Indramayu, Jawa Barat, 2057
Gantar, Indramayu, Jawa Barat, 2058
Haurgeulis, Indramayu, Jawa Barat, 2059
Indramayu, Indramayu, Jawa Barat, 2060
Jatibarang, Indramayu, Jawa Barat, 2061
Juntinyuat, Indramayu, Jawa Barat, 2062
Kandanghaur, Indramayu, Jawa Barat, 2063
Karangampel, Indramayu, Jawa Barat, 2064
Kedokan Bunder, Indramayu, Jawa Barat, 2065
Kertasemaya, Indramayu, Jawa Barat, 2066
Krangkeng, Indramayu, Jawa Barat, 2067
Kroya, Indramayu, Jawa Barat, 2068
Lelea, Indramayu, Jawa Barat, 2069
Lohbener, Indramayu, Jawa Barat, 2070
Losarang, Indramayu, Jawa Barat, 2071
Pasekan, Indramayu, Jawa Barat, 2072
Patrol, Indramayu, Jawa Barat, 2073
Sindang, Indramayu, Jawa Barat, 2074
Sliyeg, Indramayu, Jawa Barat, 2075
Sukagumiwang, Indramayu, Jawa Barat, 2076
Sukra, Indramayu, Jawa Barat, 2077
Trisi/Terisi, Indramayu, Jawa Barat, 2078
Tukdana, Indramayu, Jawa Barat, 2079
Widasari, Indramayu, Jawa Barat, 2080
Agisiga, Intan Jaya, Papua, 2081
Biandoga, Intan Jaya, Papua, 2082
Hitadipa, Intan Jaya, Papua, 2083
Homeo (Homeyo), Intan Jaya, Papua, 2084
Sugapa, Intan Jaya, Papua, 2085
Wandai, Intan Jaya, Papua, 2086
Cengkareng, Jakarta Barat, DKI Jakarta, 2087
Grogol Petamburan, Jakarta Barat, DKI Jakarta, 2088
Kalideres, Jakarta Barat, DKI Jakarta, 2089
Kebon Jeruk, Jakarta Barat, DKI Jakarta, 2090
Kembangan, Jakarta Barat, DKI Jakarta, 2091
Palmerah, Jakarta Barat, DKI Jakarta, 2092
Taman Sari, Jakarta Barat, DKI Jakarta, 2093
Tambora, Jakarta Barat, DKI Jakarta, 2094
Cempaka Putih, Jakarta Pusat, DKI Jakarta, 2095
Gambir, Jakarta Pusat, DKI Jakarta, 2096
Johar Baru, Jakarta Pusat, DKI Jakarta, 2097
Kemayoran, Jakarta Pusat, DKI Jakarta, 2098
Menteng, Jakarta Pusat, DKI Jakarta, 2099
Sawah Besar, Jakarta Pusat, DKI Jakarta, 2100
Senen, Jakarta Pusat, DKI Jakarta, 2101
Tanah Abang, Jakarta Pusat, DKI Jakarta, 2102
Cilandak, Jakarta Selatan, DKI Jakarta, 2103
Jagakarsa, Jakarta Selatan, DKI Jakarta, 2104
Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 2105
Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 2106
Mampang Prapatan, Jakarta Selatan, DKI Jakarta, 2107
Pancoran, Jakarta Selatan, DKI Jakarta, 2108
Pasar Minggu, Jakarta Selatan, DKI Jakarta, 2109
Pesanggrahan, Jakarta Selatan, DKI Jakarta, 2110
Setia Budi, Jakarta Selatan, DKI Jakarta, 2111
Tebet, Jakarta Selatan, DKI Jakarta, 2112
Cakung, Jakarta Timur, DKI Jakarta, 2113
Cipayung, Jakarta Timur, DKI Jakarta, 2114
Ciracas, Jakarta Timur, DKI Jakarta, 2115
Duren Sawit, Jakarta Timur, DKI Jakarta, 2116
Jatinegara, Jakarta Timur, DKI Jakarta, 2117
Kramat Jati, Jakarta Timur, DKI Jakarta, 2118
Makasar, Jakarta Timur, DKI Jakarta, 2119
Matraman, Jakarta Timur, DKI Jakarta, 2120
Pasar Rebo, Jakarta Timur, DKI Jakarta, 2121
Pulo Gadung, Jakarta Timur, DKI Jakarta, 2122
Cilincing, Jakarta Utara, DKI Jakarta, 2123
Kelapa Gading, Jakarta Utara, DKI Jakarta, 2124
Koja, Jakarta Utara, DKI Jakarta, 2125
Pademangan, Jakarta Utara, DKI Jakarta, 2126
Penjaringan, Jakarta Utara, DKI Jakarta, 2127
Tanjung Priok, Jakarta Utara, DKI Jakarta, 2128
Danau Teluk, Jambi, Jambi, 2129
Jambi Selatan, Jambi, Jambi, 2130
Jambi Timur, Jambi, Jambi, 2131
Jelutung, Jambi, Jambi, 2132
Kota Baru, Jambi, Jambi, 2133
Pasar Jambi, Jambi, Jambi, 2134
Pelayangan, Jambi, Jambi, 2135
Telanaipura, Jambi, Jambi, 2136
Airu, Jayapura, Papua, 2137
Demta, Jayapura, Papua, 2138
Depapre, Jayapura, Papua, 2139
Ebungfau (Ebungfa), Jayapura, Papua, 2140
Gresi Selatan, Jayapura, Papua, 2141
Kaureh, Jayapura, Papua, 2142
Kemtuk, Jayapura, Papua, 2143
Kemtuk Gresi, Jayapura, Papua, 2144
Nambluong, Jayapura, Papua, 2145
Nimbokrang, Jayapura, Papua, 2146
Nimboran, Jayapura, Papua, 2147
Ravenirara, Jayapura, Papua, 2148
Sentani, Jayapura, Papua, 2149
Sentani Barat, Jayapura, Papua, 2150
Sentani Timur, Jayapura, Papua, 2151
Unurum Guay, Jayapura, Papua, 2152
Waibu, Jayapura, Papua, 2153
Yapsi, Jayapura, Papua, 2154
Yokari, Jayapura, Papua, 2155
Abepura, Jayapura, Papua, 2156
Heram, Jayapura, Papua, 2157
Jayapura Selatan, Jayapura, Papua, 2158
Jayapura Utara, Jayapura, Papua, 2159
Muara Tami, Jayapura, Papua, 2160
Asologaima (Asalogaima), Jayawijaya, Papua, 2161
Asolokobal, Jayawijaya, Papua, 2162
Asotipo, Jayawijaya, Papua, 2163
Bolakme, Jayawijaya, Papua, 2164
Bpiri, Jayawijaya, Papua, 2165
Bugi, Jayawijaya, Papua, 2166
Hubikiak, Jayawijaya, Papua, 2167
Hubikosi (Hobikosi), Jayawijaya, Papua, 2168
Ibele, Jayawijaya, Papua, 2169
Itlay Hisage, Jayawijaya, Papua, 2170
Koragi, Jayawijaya, Papua, 2171
Kurulu, Jayawijaya, Papua, 2172
Libarek, Jayawijaya, Papua, 2173
Maima, Jayawijaya, Papua, 2174
Molagalome, Jayawijaya, Papua, 2175
Muliama, Jayawijaya, Papua, 2176
Musatfak, Jayawijaya, Papua, 2177
Napua, Jayawijaya, Papua, 2178
Pelebaga, Jayawijaya, Papua, 2179
Piramid, Jayawijaya, Papua, 2180
Pisugi, Jayawijaya, Papua, 2181
Popugoba, Jayawijaya, Papua, 2182
Siepkosi, Jayawijaya, Papua, 2183
Silo Karno Doga, Jayawijaya, Papua, 2184
Taelarek, Jayawijaya, Papua, 2185
Tagime, Jayawijaya, Papua, 2186
Tagineri, Jayawijaya, Papua, 2187
Trikora, Jayawijaya, Papua, 2188
Usilimo, Jayawijaya, Papua, 2189
Wadangku, Jayawijaya, Papua, 2190
Walaik, Jayawijaya, Papua, 2191
Walelagama, Jayawijaya, Papua, 2192
Wame, Jayawijaya, Papua, 2193
Wamena, Jayawijaya, Papua, 2194
Welesi, Jayawijaya, Papua, 2195
Wesaput, Jayawijaya, Papua, 2196
Wita Waya, Jayawijaya, Papua, 2197
Wollo (Wolo), Jayawijaya, Papua, 2198
Wouma, Jayawijaya, Papua, 2199
Yalengga, Jayawijaya, Papua, 2200
Ajung, Jember, Jawa Timur, 2201
Ambulu, Jember, Jawa Timur, 2202
Arjasa, Jember, Jawa Timur, 2203
Balung, Jember, Jawa Timur, 2204
Bangsalsari, Jember, Jawa Timur, 2205
Gumuk Mas, Jember, Jawa Timur, 2206
Jelbuk, Jember, Jawa Timur, 2207
Jenggawah, Jember, Jawa Timur, 2208
Jombang, Jember, Jawa Timur, 2209
Kalisat, Jember, Jawa Timur, 2210
Kaliwates, Jember, Jawa Timur, 2211
Kencong, Jember, Jawa Timur, 2212
Ledokombo, Jember, Jawa Timur, 2213
Mayang, Jember, Jawa Timur, 2214
Mumbulsari, Jember, Jawa Timur, 2215
Pakusari, Jember, Jawa Timur, 2216
Panti, Jember, Jawa Timur, 2217
Patrang, Jember, Jawa Timur, 2218
Puger, Jember, Jawa Timur, 2219
Rambipuji, Jember, Jawa Timur, 2220
Semboro, Jember, Jawa Timur, 2221
Silo, Jember, Jawa Timur, 2222
Sukorambi, Jember, Jawa Timur, 2223
Sukowono, Jember, Jawa Timur, 2224
Sumber Baru, Jember, Jawa Timur, 2225
Sumber Jambe, Jember, Jawa Timur, 2226
Sumber Sari, Jember, Jawa Timur, 2227
Tanggul, Jember, Jawa Timur, 2228
Tempurejo, Jember, Jawa Timur, 2229
Umbulsari, Jember, Jawa Timur, 2230
Wuluhan, Jember, Jawa Timur, 2231
Jembrana, Jembrana, Bali, 2232
Melaya, Jembrana, Bali, 2233
Mendoyo, Jembrana, Bali, 2234
Negara, Jembrana, Bali, 2235
Pekutatan, Jembrana, Bali, 2236
Arungkeke, Jeneponto, Sulawesi Selatan, 2237
Bangkala, Jeneponto, Sulawesi Selatan, 2238
Bangkala Barat, Jeneponto, Sulawesi Selatan, 2239
Batang, Jeneponto, Sulawesi Selatan, 2240
Binamu, Jeneponto, Sulawesi Selatan, 2241
Bontoramba, Jeneponto, Sulawesi Selatan, 2242
Kelara, Jeneponto, Sulawesi Selatan, 2243
Rumbia, Jeneponto, Sulawesi Selatan, 2244
Tamalatea, Jeneponto, Sulawesi Selatan, 2245
Tarowang, Jeneponto, Sulawesi Selatan, 2246
Turatea, Jeneponto, Sulawesi Selatan, 2247
Bangsri, Jepara, Jawa Tengah, 2248
Batealit, Jepara, Jawa Tengah, 2249
Donorojo, Jepara, Jawa Tengah, 2250
Jepara, Jepara, Jawa Tengah, 2251
Kalinyamatan, Jepara, Jawa Tengah, 2252
Karimunjawa, Jepara, Jawa Tengah, 2253
Kedung, Jepara, Jawa Tengah, 2254
Keling, Jepara, Jawa Tengah, 2255
Kembang, Jepara, Jawa Tengah, 2256
Mayong, Jepara, Jawa Tengah, 2257
Mlonggo, Jepara, Jawa Tengah, 2258
Nalumsari, Jepara, Jawa Tengah, 2259
Pakis Aji, Jepara, Jawa Tengah, 2260
Pecangaan, Jepara, Jawa Tengah, 2261
Tahunan, Jepara, Jawa Tengah, 2262
Welahan, Jepara, Jawa Tengah, 2263
Bandar Kedung Mulyo, Jombang, Jawa Timur, 2264
Bareng, Jombang, Jawa Timur, 2265
Diwek, Jombang, Jawa Timur, 2266
Gudo, Jombang, Jawa Timur, 2267
Jogoroto, Jombang, Jawa Timur, 2268
Jombang, Jombang, Jawa Timur, 2269
Kabuh, Jombang, Jawa Timur, 2270
Kesamben, Jombang, Jawa Timur, 2271
Kudu, Jombang, Jawa Timur, 2272
Megaluh, Jombang, Jawa Timur, 2273
Mojoagung, Jombang, Jawa Timur, 2274
Mojowarno, Jombang, Jawa Timur, 2275
Ngoro, Jombang, Jawa Timur, 2276
Ngusikan, Jombang, Jawa Timur, 2277
Perak, Jombang, Jawa Timur, 2278
Peterongan, Jombang, Jawa Timur, 2279
Plandaan, Jombang, Jawa Timur, 2280
Ploso, Jombang, Jawa Timur, 2281
Sumobito, Jombang, Jawa Timur, 2282
Tembelang, Jombang, Jawa Timur, 2283
Wonosalam, Jombang, Jawa Timur, 2284
Buruway, Kaimana, Papua Barat, 2285
Kaimana, Kaimana, Papua Barat, 2286
Kambraw (Kamberau), Kaimana, Papua Barat, 2287
Teluk Arguni Atas, Kaimana, Papua Barat, 2288
Teluk Arguni Bawah (Yerusi), Kaimana, Papua Barat, 2289
Teluk Etna, Kaimana, Papua Barat, 2290
Yamor, Kaimana, Papua Barat, 2291
Bangkinang, Kampar, Riau, 2292
Bangkinang Seberang, Kampar, Riau, 2293
Gunung Sahilan, Kampar, Riau, 2294
Kampar, Kampar, Riau, 2295
Kampar Kiri, Kampar, Riau, 2296
Kampar Kiri Hilir, Kampar, Riau, 2297
Kampar Kiri Hulu, Kampar, Riau, 2298
Kampar Kiri Tengah, Kampar, Riau, 2299
Kampar Timur, Kampar, Riau, 2300
Kampar Utara, Kampar, Riau, 2301
Koto Kampar Hulu, Kampar, Riau, 2302
Kuok (Bangkinang Barat), Kampar, Riau, 2303
Perhentian Raja, Kampar, Riau, 2304
Rumbio Jaya, Kampar, Riau, 2305
Salo, Kampar, Riau, 2306
Siak Hulu, Kampar, Riau, 2307
Tambang, Kampar, Riau, 2308
Tapung, Kampar, Riau, 2309
Tapung Hilir, Kampar, Riau, 2310
Tapung Hulu, Kampar, Riau, 2311
XIII Koto Kampar, Kampar, Riau, 2312
Basarang, Kapuas, Kalimantan Tengah, 2313
Bataguh, Kapuas, Kalimantan Tengah, 2314
Dadahup, Kapuas, Kalimantan Tengah, 2315
Kapuas Barat, Kapuas, Kalimantan Tengah, 2316
Kapuas Hilir, Kapuas, Kalimantan Tengah, 2317
Kapuas Hulu, Kapuas, Kalimantan Tengah, 2318
Kapuas Kuala, Kapuas, Kalimantan Tengah, 2319
Kapuas Murung, Kapuas, Kalimantan Tengah, 2320
Kapuas Tengah, Kapuas, Kalimantan Tengah, 2321
Kapuas Timur, Kapuas, Kalimantan Tengah, 2322
Mandau Talawang, Kapuas, Kalimantan Tengah, 2323
Mantangai, Kapuas, Kalimantan Tengah, 2324
Pasak Talawang, Kapuas, Kalimantan Tengah, 2325
Pulau Petak, Kapuas, Kalimantan Tengah, 2326
Selat, Kapuas, Kalimantan Tengah, 2327
Tamban Catur, Kapuas, Kalimantan Tengah, 2328
Timpah, Kapuas, Kalimantan Tengah, 2329
Badau, Kapuas Hulu, Kalimantan Barat, 2330
Batang Lupar, Kapuas Hulu, Kalimantan Barat, 2331
Bika, Kapuas Hulu, Kalimantan Barat, 2332
Boyan Tanjung, Kapuas Hulu, Kalimantan Barat, 2333
Bunut Hilir, Kapuas Hulu, Kalimantan Barat, 2334
Bunut Hulu, Kapuas Hulu, Kalimantan Barat, 2335
Embaloh Hilir, Kapuas Hulu, Kalimantan Barat, 2336
Embaloh Hulu, Kapuas Hulu, Kalimantan Barat, 2337
Empanang, Kapuas Hulu, Kalimantan Barat, 2338
Hulu Gurung, Kapuas Hulu, Kalimantan Barat, 2339
